,heading,text,bias_rating
7549,NRA sued to block Florida’s new gun law hours after it was passed,The group is arguing that young women really need their guns.,left
16609,Judge appears willing to unveil some of Mar-a-Lago affidavit,"A federal judge on Thursday ordered the Justice Department to put forward proposed redactions as he committed to making public at least part of the affidavit supporting the search warrant for former President Donald Trump’s estate in Florida.
U.S. Magistrate Judge Bruce Reinhart gave prosecutors a week to submit a copy of the affidavit with proposed redactions for the information it wants to keep secret after the FBI seized classified and top secret information during a search at Trump’s Mar-a-Lago estate last week.
The Justice Department also revealed during Thursday’s hearing...",left
3307,Bernie Sanders enters 2020 presidential race: 'Complete the revolution',"The Vermont senator, 77, enters a very different Democratic primary contest than he faced vs. Hillary Clinton in 2016.",left
1861,"What's the status of a second $1,200 stimulus check?","Hopes that lawmakers in Washington could reach agreement on a fresh round of COVID-19 relief before the presidential election are all but extinguished. Senators adjourned on Monday and are not scheduled to return until November 9, impeding progress on a new stimulus bill.
Shares fell Monday as Congress failed to find a breakthrough and as investors fretted over an ongoing surge in coronaavirus cases around the United States. House Speaker Nancy Pelosi last week had offered a more positive outlook, saying she and Treasury Secretary Steven Mnuchin were ""just...",left
7208,Trump says U.S. will have vaccine doses for all Americans in April,"President Donald Trump said Friday that there will be enough doses of coronavirus vaccine for every American by April, contradicting administration health officials who have projected the country would not reach that point until mid-2021.
""Hundreds of millions of doses will be available every month and we expect to have enough vaccines for every American by April,"" he said at a White House press briefing. Trump earlier in the week said that doses would be broadly available by March.
Trump touted the timeline as evidence of ""historic progress,"" and said...",left
1447,The Benghazi hearings: what's new and what's not,We provide a guide to help readers sort through some of the fog of charges and countercharges that emerged at the House hearings on Wednesday.,left
14805,Biden to host bipartisan group of lawmakers for infrastructure meeting as he faces pressure on both sides of the aisle,"President Joe Biden will meet with a bipartisan group of lawmakers on Monday afternoon to discuss his roughly $2 trillion jobs and infrastructure proposal, as he faces united Republican opposition to the plan and pressure from Democrats to move without GOP support.
The meeting will be the first time Biden sits down with lawmakers to discuss his proposal, which has been met with resistance by some lawmakers from both parties on Capitol Hill. The President unveiled his plan last month and it's aimed at improving the nation's infrastructure and shifting...",left
17037,Trump threatens to send the US military to quash protests,"He didn’t invoke a centuries-old law to give him that authority. But he might later.
President Donald Trump on Monday threatened to invoke the Insurrection Act — a centuries-old law that gives the president the authority to send the US military into US cities and towns to quash domestic unrest — if state governors don’t take sufficient action to quell the ongoing protests and unrest happening in cities across the country.
“If a city or state refuses to take the actions that are necessary to defend the life and property...",left
1673,A step-by-step guide to Wednesday's electoral vote count in Congress,"The next crucial step in the United States' Pony Express version of democracy is upon us -- and so is the final opportunity in President Donald Trump's desperate quest to overturn results from the election he lost.
Wednesday is the culmination of the Electoral College process, when states' votes determined by the results of the November 3 general election are formally counted during a joint session of Congress. We know the results -- Biden won 306 electoral votes, beating Trump's 232 -- but the congressional session seals Joe Biden's victory,...",left
2609,L.A. County will require masks indoors amid alarming rise in coronavirus cases,"Faced with a distressing rise in coronavirus cases, Los Angeles County will again require residents to wear masks in indoor public spaces — regardless of their vaccination status.
The new order, which comes a little more than two weeks after the county recommended the same protocols as a precaution, will go into effect at 11:59 p.m. Saturday, according to the county’s health officer, Dr. Muntu Davis.
Some exceptions will apply, Davis said, but the order will be similar to the requirements that were in place prior to California’s June 15 reopening....",left
6705,Multistate manhunt underway for suspect in Facebook homicide video,"Local, state and federal law enforcement are frantically searching for a suspect accused of shooting and killing a 74-year-old man Sunday in Cleveland and then posting a video of the coldblooded slaying on Facebook.",left
20046,"Here's What 240 Million Americans Will Have To Start Doing Next Week, Thanks To Obamacare","On Oct. 1 the long-feared national nightmare finally arrives. Obamacare, the massive health care reform law passed in 2010 will make its latest mark with the launch of its health insurance exchanges.",left
6101,Karl Rove Gives Yet Another Reason For Mitt Romney's Loss: He Had A 'Butt-Ugly Primary',"GOP strategist Karl Rove continued his effort to bury Mitt Romney's election loss under a pile of excuses on Wednesday, adding a new explanation to his growing list.
""Mitt Romney had what I scientifically call a butt-ugly primary,'' Rove told a crowd gathered to hear him speak at Northwest Pennsylvania Collegiate Academy, according to the Erie Times-News. He went on to explain that the lengthy contest featured ""way too many debates'' and became overly focused on social issues instead of the economy.
Rove also offered a number of other reasons...",left
3426,Animal activists finally have something to applaud at Ringling Bros. circus: its closure,"When Ringling Bros. and Barnum & Bailey Circus announced late Saturday that it would permanently end all of its performances this May after a 146-year run, there seemed to be a collective gasp online, along with a smattering of nostalgia for “the Greatest Show on Earth.”",left
6631,The shadiest details in Puerto Rico's leaked electricity contract with Whitefish Energy,"Puerto Rico has now endured the longest power failure in U.S. history, after Category 4 Hurricane Maria tore a path of destruction across the island on Sept. 20. One of the contracts the island's beleaguered government signed in order to get the lights turned back on is with a tiny Montana-based company named Whitefish Energy.",left
2651,"Despite Tragedy, Conn. Gun Seizure Law May Have Prevented Others","At about 8 a.m. on March 6, 1998, Matthew Beck arrived to work at the headquarters of the Connecticut State Lottery. He hung up his coat, walked into an office and shot the first of four victims.
Beck ended up killing a number of his co-workers and then took his own life in the parking lot when the police arrived.
Mike Lawlor, the Connecticut governor's criminal justice adviser, was a state representative at the time, and wanted to understand what led to the rampage. He learned that Beck had previously...",left
3671,NSA and your phone records: What should Obama do?,Peter Bergen says that when the President speaks Friday he should announce the end of the mass surveillance program,left
21559,"Supreme Court expands gun rights, with nation divided","In a major expansion of gun rights, the Supreme Court said Thursday that Americans have a right to carry firearms in public for self-defense, a ruling likely to lead to more people legally armed in cities and elsewhere. The ruling came with recent mass shootings fresh in the nation’s mind and gun-control legislation being debated in Congress and beyond.
About a quarter of the U.S. population lives in states expected to be affected by the ruling, which struck down a New York gun law. The high court’s first major gun decision in...",left
12404,Iraq chaos as al-Sadr supporters storm Green Zone after he quits,"Iraq’s powerful Shia leader Muqtada al-Sadr announced he is quitting political life for good and closing his political offices in a move that could further inflame tensions in the country.
Gunfire rang out in the Green Zone and security forces launched tear gas cannisters on Monday to disperse al-Sadr supporters converging on the area. At least two people were killed and 19 wounded, police and medical workers said.
Al-Sadr’s statement, published on Twitter, came after months of protests by supporters backing his call for the dissolution of the Iraqi parliament, which has seen 10...",left
16835,A Gun-Toting Man In Body Armor Who Sparked Panic At A Missouri Walmart Was Arrested For Making A Terrorist Threat,"A man clad in body armor and carrying ""tactical weapons"" was arrested Thursday after sparking mass panic at a Walmart in Missouri — less than a week after 22 people were killed in a shooting at an El Paso Walmart.
Dmitriy Andreychenko, 20, was carrying guns loaded with more than 100 rounds of ammunition, KY3 reported. He grabbed a shopping cart upon entering the store and started recording himself on a cellphone while walking the aisles.
Though shots were not fired, chaos ensued, and terrified shoppers reportedly ran out of...",left
21308,OPINION: Donald Trump's Success Carries Lessons for Democrats Too,"Both political parties are susceptible to the failures of leadership, tone-deafness and elitism that fueled Donald Trump’s rise.",left
2242,"Sydney Hostage Crisis: 5 People Flee Lindt Chocolate Shop, Standoff Continues","Five people have escaped from a popular Sydney cafe after they had been taken hostage -- with others still held inside as neighboring blocks remain locked down, authorities said.",left
12761,Trump’s unpredictable style unnerves corporate America,The turbulence began Tuesday morning with one of President-elect Donald Trump’s signature tweets of wrath: a public jab at Boeing alleging that the cost of building Air Force One had spiraled out of control.,left
10873,2013 Virginia election results: Why Terry McAuliffe barely won,How the heck did that happen? Most public polls leading up to Election Day had Democrat Terry McAuliffe coasting to victory some by double digits in the Virginia Governor's race.,left
18960,Michael Bloomberg says his money is why Trump got impeached,"Former New York City Mayor Michael Bloomberg has been rising through the Democratic primary race, most likely because of the absolutely massive amount of money he's poured into it. And at a Chattanooga, Tennessee rally on Wednesday, the billionaire made it clear just what that money can do, Politico reports.
""In 2018, I helped flip the House"" by bankrolling 21 Democratic challengers who eventually won Republican-held seats, Bloomberg said Wednesday. That led House Speaker Nancy Pelosi (D-Calif.) to return to her role at the top of the legislative body, and...",left
13035,Trump Falsely Accuses an Elderly Buffalo Protester of Staging His Violent Police Encounter,"Even by the ever-sinking standards of President Trump’s fondness for right-wing conspiracy theories, his latest is something to behold.
On Tuesday, Trump accused the elderly protester who was violently shoved to the ground by Buffalo police last Thursday of staging the incident as an operation for Antifa. The incredible accusation—entirely baseless—defies the reality captured in a widely seen video that has since led to the firing of the two officers who pushed 75-year-old Martin Gugino, causing him to bleed from the head, during a protest against police brutality outside Buffalo’s...",left
13610,Bloomberg makes preparations for 2020 run,"Former New York City Mayor Michael Bloomberg is preparing to file paperwork to qualify for the Democratic presidential primary in Alabama, ahead of a Friday deadline. The move would be a first step toward a national campaign, though Bloomberg has not made a final decision to run.
""We now need to finish the job and ensure that Trump is defeated — but Mike is increasingly concerned that the current field of candidates is not well positioned to do that,"" longtime Bloomberg aide Howard Wolfson said in an email. ""If Mike...",left
2732,OPINION: Why Comey stood alone: Inside the FBI's announcement,"FBI Director James Comey in recent weeks decided that when the bureau's investigation into Hillary Clinton was completed, he alone would make a public announcement on the findings of investigators, but the surprising orchestration was propelled in part by the political chaos over the last week.",left
20993,Biden pushes efforts to end cancer on 60th anniversary of JFK's 'moonshot' speech,"On the 60th anniversary of President John F. Kennedy's famous moonshot speech, President Joe Biden on Monday is set out to lay out his new plan for a new ""American Moonshot,"" an effort aimed at eradicating cancer ""as we know it.""
""This is a, all the way back '62, the moonshot was announced, we're gonna have a moonshot for cancer, for real. We're gonna cure cancer over time. I'm gonna lay out how we're gonna do that,"" Biden said Monday morning as he departed Washington for Boston, Massachusetts.",left
10196,Planned Parenthood goes head-to-head with Republicans seeking its demise,The head of Planned Parenthood will defend the organization Tuesday against what is likely to be a barrage of attacks from conservative lawmakers who are so upset over controversial videos regarding its practices that they’re willing to shut down part of the federal government over them.,left
6934,Why did GOP invite Clint Eastwood?,"The beloved actor/director, 82, was the ""mystery guest"" at the Republican Convention, a warm-up act for Sen. Mario Rubio of Florida, who introduced candidate Romney. He strode out on the stage, hair uncombed and a little wild, with his familiar, stiff-legged authority, and proceeded to deliver an improvised piece of performance art that triggered unintentional amusement and confusion within the Tampa Bay Times Forum and throughout the viewing audience.",left
5538,"Sally Yates, DoJ Boss At Close Of Obama Era, Due In Senate Hearing Wednesday","President Trump's allies in the Senate are set to resume a public investigation on Wednesday that aims to tie former Vice President Joe Biden with what Republicans call abuses of power.
Senate Judiciary Committee Chairman Lindsey Graham, R-S.C., wants to question former Deputy Attorney General Sally Yates about her actions and those of the Justice Department and FBI as President Barack Obama's era closed and Trump's began.
Yates headed the Justice Department for part of the time covered by the investigation into Russia's interference in the 2016 election and was...",left
173,Corporate broadcast TV news fails to make crucial connection between record-breaking California wildfires and climate crisis,"Over the long Labor Day weekend, an explosive fire in the Sierra Nevada and record-shattering heat accelerated the climate crisis unfolding in California. The fires this season have already burned more acres than during any other year on record — and there are still several months left in the fire season.
The wildfire media coverage over the three-day weekend and into Tuesday included horrifying images, footage, and accounts from those on the ground, and awestruck reporters onsite and in studios casting around for language that properly conveys the scope...",left
20165,FDA authorizes Pfizer's Covid-19 vaccine for children 5 to 11,"The US Food and Drug Administration issued emergency use authorization on Friday for Pfizer's Covid-19 vaccine for children 5 to 11. This is the first Covid-19 vaccine authorized in the United States for younger children.
The FDA's vaccine advisers voted 17-0 with one abstention on Tuesday to recommend EUA for the vaccine, which is formulated at one-third the dose of the vaccine used for people 12 and older.
Pfizer says a clinical trial showed its vaccine provides more than 90% protection against symptomatic disease among children, even at one-third the dose, and...",left
18330,'Jihadi John' targeted by airstrike in Syria,"""Jihadi John,"" the jeering, sadistic masked mouthpiece of ISIS, may have been killed in a coalition airstrike in the northern Syrian city of Raqqa.",left
12254,"Gunman shoots 3 students at Florida State, is killed","Three students were shot early Thursday at a Florida State University library before campus police killed the gunman, Tallahassee police said.",left
4601,CIA Director William Burns held secret meeting in Kabul with Taliban leader Abdul Ghani Baradar,"CIA Director William J. Burns held a secret meeting Monday in Kabul with the Taliban’s de facto leader, Abdul Ghani Baradar, in the highest-level face-to-face encounter between the Taliban and the Biden administration since the militants seized the Afghan capital, according to U.S. officials familiar with the matter who spoke on the condition of anonymity to discuss sensitive diplomacy.
President Biden dispatched his top spy, a veteran of the Foreign Service and the most decorated diplomat in his Cabinet, amid a frantic effort to evacuate people from Kabul international airport in what...",left
11015,"Iran uses advanced centrifuges, threatens higher enrichment","TEHRAN, Iran (AP) — Iran on Saturday said it now uses arrays of advanced centrifuges prohibited by its 2015 nuclear deal and can enrich uranium “much more beyond” current levels to weapons-grade material, taking a third step away from the accord while warning Europe has little time to offer it new terms.
While insisting Iran doesn’t seek a nuclear weapon, the comments by Behrouz Kamalvandi of the Atomic Energy Organization of Iran threatened pushing uranium enrichment far beyond levels ever reached in the country. Prior to the atomic deal, Iran...",left
871,Bombing suspect's uncle: Friend in Cambridge 'brainwashed him completely',The evolution of Tamerlan Tsarnaev from aspiring Olympic boxer to apparent self-radicalized jihadist may have been influenced by a friend in Cambridge.,left
2984,What the polls say about ObamaÃ¢â‚¬â„¢s proposals,"President Obama set the tone for his second term Tuesday, going through a litany of policy proposals that he will pursue in the months and years ahead.
And polls suggest most of his big proposals have broad public support.
That doesnt mean, of course, that Congress will pass the bills, but it does suggest that the president is pushing ideas that the American public is broadly receptive to.",left
2340,Hope for compromise recedes as budget debate begins,Nothing it seems can bridge the bottomless political divide in Washington over taxes and spending.,left
2521,Saudi-Led Airstrikes Kill Scores at a Prison in Yemen,"The seven-year-old war in Yemen intensified again on Friday when airstrikes by the Saudi-led military coalition on northern Yemen killed at least 70 people and knocked out the entire country’s internet, according to international aid groups and the rebels who control the area.
Capping a week in which rebel drones struck as far away as Abu Dhabi and Saudi bombs rained down across rebel-held northern Yemen, the hostilities were fresh proof of the conflict’s obstinacy a year after President Biden took office vowing to bring the war — and one...",left
279,"Trump to CPAC: ‘Now you finally have a president, finally’","President Trump declared himself among friends as he delivered a campaign-style speech Friday at an annual gathering of conservative activists and told the crowd that his movement represented the future of the Republican party.
“Now you finally have a president, finally,” Trump said, shortly after taking stage to Lee Greenwood's “God Bless the U.S.A.”",left
3217,On the Ground: Ukraine Under Attack,"For weeks, a Russian invasion had been feared, but once the sweeping attacks began on Thursday, hitting seemingly every corner of Ukraine, the war became unavoidably tangible for its people, a hovering cloud of darkness that once seemed unimaginable in the post-Cold War era.
Hearing the booms of missile explosions and air attacks, and reports of battles that had killed both civilians and soldiers, some vowed to fight the intruders however they could. Most also realized, though, that life defying Russia’s overwhelming might was likely to be unsettled and treacherous.
In parts of Ukraine, people...",left
3428,Famed Ringling Bros. circus closing after more than 100 years,"The Ringling Bros. circus is closing down after more than 100 years in operation, according to a press release from Feld Entertainment, which has owned the circus for the last 50 years.",left
18615,The ‘Ivanka Trump of North Korea’ captivates people in the South at the Olympics,They marveled at her barely-there makeup and her lack of bling. They commented on her plain black outfits and simple purse. They noted the flower-shaped clip that kept her hair back in a no-nonsense style.,left
20182,DOJ to ask Trump-appointed US attorneys to resign,"The Justice Department, as soon as Tuesday, is expected to ask US attorneys appointed by former President Donald Trump to submit their resignations, a turnover expected to spare two top prosecutors in Delaware and Connecticut overseeing two sensitive Trump-era investigations, a senior Justice Department official said.
In a call Monday night, acting Attorney General Monty Wilkinson asked Delaware US Attorney David Weiss to remain in office, where he is overseeing the tax probe of Hunter Biden, President Joe Biden's son. John Durham, appointed as special counsel by former Attorney General...",left
7879,"Congress Has a Breaking Point. This Week, Trump Might Have Found It.","Time and again — when President Trump stood by Saudi Arabia after the killing of a Virginia-based journalist, when it looked as if he might intervene in the special counsel’s Russia investigation and when he threatened to declare a national emergency to pay for his border wall — lawmakers on Capitol Hill warned him not to push them too far.",left
2615,"Paul Ryan Doesn’t Want Kids Split From Their Parents, But He Won’t Blame Trump For It",The House speaker blamed the courts for immigrant family separations that the courts did not require.,left
15891,Syria: Attack on military facility was a 'declaration of war' by Israel,"A Syrian official called an attack Sunday on the nation's military research facility a ""declaration of war"" by Israel.",left
8927,"In Move Toward Campaign, Christie Creates PAC and Hires Staff","Gov. Chris Christie on Monday will make his most decisive moves yet toward a presidential run by creating a political action committee, hiring eight experienced campaign aides and outlining plans for a spree of fund-raising events across the country.
Mr. Christie’s PAC, to be called “Leadership Matters For America,” will allow the New Jersey governor to raise and spend the money necessary to woo Republicans across the country over the next year. It will employ several of his closest political advisers and aides, said a person briefed on the plans.",left
18798,Trump appears to acknowledge Russian election meddling – and blames Obama,"For months, he decried as a ""witch hunt"" the assessment of 17 intelligence agencies that blame Russia for meddling in the 2016 election.",left
17645,"House GOP offers plan to avoid fiscal cliff, but White House says no","House Republicans offered their own proposal to avert the so-called fiscal cliff, but it was quickly rebuffed.",left
7545,16 US Marines arrested for alleged crimes including human smuggling and drug-related offenses,"Washington (CNN)Sixteen US Marines were arrested Thursday for alleged involvement in various illegal activities ranging from human smuggling to drug-related offenses, according to a statement from the Marine Corps.
The arrests took place in a dramatic fashion on Thursday morning at Camp Pendleton, California, during a battalion formation.
""Information gained from a previous human smuggling investigation precipitated the arrests,"" the statement said. ""None of the Marines arrested or detained for questioning served in support of the Southwest Border Support mission.""
Eight other Marines were also questioned on their...",left
15566,A Man Died After Self-Medicating With A Drug Trump Promoted As A Potential Treatment For The Coronavirus,"A man died and his wife needed critical care after they both took a drug meant for aquariums that contains chloroquine, which President Trump recently touted as a treatment for COVID-19 in spite of a lack of study by health officials or approval by the World Health Organization.
According to the Banner Health hospital system in Phoenix, the couple, both in their sixties, ingested chloroquine phosphate, ""an additive commonly used at aquariums to clean fish tanks."" One aquarium supply store online described it as a ""wonder drug"" that was once...",left
7045,John Boehner Backs Steve Scalise Amid Controversy Over White Supremacist Meeting,"House Speaker John Boehner (R-Ohio) is throwing a lifesaver to House Majority Whip Steve Scalise (R) as the Louisiana congressman faces a deluge of criticism and questions over a 2002 speech he gave to a white supremacist group.
""More than a decade ago, Representative Scalise made an error in judgment, and he was right to acknowledge it was wrong and inappropriate. Like many of my colleagues on both sides of the aisle, I know Steve to be a man of high integrity and good character. He has my full confidence...",left
10612,"Thai Army Declares Coup, Citing Need to ‘Reform’ Nation","Two days after declaring martial law the Thai military on Thursday seized full control of the country, the second time in a decade that the army has overthrown an elected government.",left
9275,Obama: Rest of my presidency is for working-class America,"President Barack Obama pledged Wednesday to focus his energy for the rest of his presidency on the core tenet of his election victories -- equal opportunity for all Americans -- starting with a campaign-style speech on the economy that also appeared to launch this year's budget battle with Republicans.
Confronting deep partisan divide over federal spending, tax reform and raising the debt ceiling later this year, Obama told a raucous crowd of hundreds at Knox C",left
9384,"The true cost of cannabis: Why don't its illnesses, deaths command media headlines?","I've covered things that injure, sicken and kill kids and adults for more than 30 years. From auto safety to medical errors, I've competed to break stories on the latest deadly defect or health policy change, most recently on electronic cigarettes.
In late August, I added vaping-related lung illnesses to the beat. Last month, I added marijuana, psychosis and other mental illness.
It's a pretty solitary place to be.
We reporters covered the heck out of vaping lung illnesses starting in August. Once it became clear the...",left
6224,"Jeff Sessions: a poor, misunderstood man exempt from normal rules",Pity the amnesiac attorney general. The Senate intelligence committee is not the first time his good name has been tarnished by ‘appalling lies’.,left
16099,"With 5 Missiles, China Sends Stark Signal to Japan and U.S. on Taiwan","North Korea has for years lobbed missiles into Japan’s waters without great incident. But for an increasingly powerful and aggressive China to do the same — as it did Thursday as a part of military exercises — has sharply raised concerns in political and security circles from Tokyo to Washington.
Beijing’s firing of five missiles into Japanese waters to the east of Taiwan has sent a warning to both the United States and Japan about coming to the aid of Taiwan in the event of a conflict there, analysts said....",left
7774,"Celebrations for Biden, Harris probably spread coronavirus, Bay Area health experts warn","The impromptu celebrations for Joe Biden and Kamala Harris after the marathon presidential election could very well have harmed the new president’s goal of taming the coronavirus pandemic, Bay Area epidemiologists said.
Corks popped in the Bay Area and across the nation after the two ended President Trump’s four-year reign, but it was pretty clear from television crowd shots that social distancing was not foremost on the minds of the shouting, chanting, singing revelers, some of whom even snuck in hugs and kisses.
“It’s going to be a concern, particularly...",left
2861,Idaho ban on gay marriage struck down,"A federal magistrate judge ruled Tuesday that Idaho’s ban on same-sex marriage is unconstitutional.
U.S. District Magistrate Judge Candy Dale wrote in the decision that Idaho’s laws banning same-sex marriage unconstitutionally deny gay and lesbian citizens their fundamental right to marry.
Read more:
http://www.politico.com/story/2014/05/idaho-gay-marriage-ban-struck-down...",left
8723,"Get Over Your Election-Needle P.T.S.D.: The Blue Wave Is Real, and It’s a Monster","All the fundamentals are pointing to a Democratic tsunami rumbling offshore, even if we’re being too careful about saying it. As with most elements of Trump’s presidency, the most",left
11533,Michigan House OKs contentious right-to-work bill as protesters mass on state Capitol grounds,The Michigan House approved the first of two right-to-work bills Tuesday that would weaken union power in the historical labor stronghold as hundreds of protesters rallied at the Capitol.,left
19217,"Firefighters missing after massive, deadly Texas blast",Teams of first responders descended on the devastated town West Texas early Thursday where a massive explosion at a fertilizer plant left scores of casualties and turned homes to rubble.,left
18415,Motel 6 Admits Arizona Sites Were Reporting Guests To ICE Without Chain’s Approval,"Employees at Motel 6 locations in Phoenix have ceased working with U.S. Immigrations and Customs Enforcement agents in light of a new report that revealed motel staffers were reporting guests who appear to be undocumented immigrants, according to a spokeswoman for the motel chain.",left
18061,"Equating bad polls with fake news, Trump further inflates his surrealistic bubble","It was inevitable that we would get to this point, given the two years that preceded it.
On Monday morning, President Trump began the tweetweek with a response to recent polling showing that his executive order on immigration is more unpopular than it is popular.",left
21230,"With The End In Sight, Holder Reflects On His Legacy","A day after Attorney General Eric Holder announced his resignation, he made a long-planned visit to Scranton, Penn.
That's where he won his first big trial as a young public corruption prosecutor nearly 40 years ago. And he says coming to this federal courthouse now, returning to the site of his earliest legal success, makes sense.
""This, for me, was ... almost like completing a circle,"" he says. ""I came here as a young and inexperienced trial lawyer and I came back as the head of the agency that I...",left
7142,"Snipers Fire on Weapons Inspectors in Syria, U.N. Says",UN inspectors seeking to establish what happened when their team came under fire multiple times by snipers.,left
7938,Internet sales tax passes Senate,"The Senate passed a bill Monday night aimed at making it easier for states to collect sales taxes for online purchases, but its final prospects remain uncertain.",left
10154,Illinois city approves first reparations program for Black residents,"An Illinois city has become the first in America to embark upon a reparations program for its Black residents after its local council approved the implementation of its first such initiative to tackle the legacy of slavery.
Late on Monday night aldermen in Evanston – a suburban community in Chicago – voted to approve the Local Reparations Restorative Housing Program, a $400,000 housing grant program.
Designed to address the inequality gap and ongoing impact of slavery on African Americans in the city, Evanston’s reparations program will be funded with sales...",left
248,Obama On Loretta Lynch: 'You Don't Hold Attorney General Nominees Hostage',"President Barack Obama chastised Senate Republicans on Friday for refusing to confirm his attorney general nominee, saying it's inexcusable to hold Loretta Lynch ""hostage"" as a bargaining chip for separate legislation.
""You don't hold attorney general nominees hostage for other issues,"" Obama told The Huffington Post's Sam Stein in a sit-down interview. ""This is our top law enforcement office. Nobody denies that she's well-qualified. We need to go ahead and get her done.""
Lynch's nomi",left
9049,Government Stays Open As Congress Advances Poison-Pill Spending Bill,"At least Democrats will have eggnog to wash down the poison pills they swallowed on Thursday as the House narrowly passed a government funding bill that will let Congress go home early for Christmas, and give Wall Street a fresh gift.",left
16563,"U.S. hits 50,000 deaths from coronavirus - just as many states announce plans to ease social restrictions","The U.S. passed 50,000 coronavirus deaths on Friday and is closing in on nearly 1 million infections as several states around the nation begin implementing plans for reopening businesses and easing social distancing.
On Friday the Johns Hopkins coronavirus database listed 51,017 U.S. deaths and more than 890,000 infections. Due to a lack of testing, the actual number of infections is likely to be much higher.",left
5005,Trump aide Peter Navarro warned 'as many as 1.2 million souls' could be lost to coronavirus: reports,"While President Donald Trump played down concerns about the coronavirus in January and February, a top White House adviser warned that a coronavirus pandemic could cost the country trillions of dollars and endanger millions of Americans, according to two new reports.
Peter Navarro, the top trade and manufacturing aide to the president, laid out the warning in two memos - one on Jan. 29 and another on Feb. 23, according to reports from the New York Times and Axios. Trump has repeatedly said that no one could have predicted the...",left
11811,Obama On Immigration: 'We're Putting Our Shoulder To The Wheel',"President Barack Obama said on Wednesday that he hopes immigration reform can be passed into law by June, but in the meantime he has no plans to halt or slow deportations, despite pleas from advocates.
Obama gave interviews to two Spanish-language outlets, Univision and Telemundo, on Wednesday, the day after he delivered a major speech on immigration reform. He argued that much of the legislative work on the issue is already done, given years of work by a number of members of Congress and his own administration. Now, the struggle...",left
12480,House returns as Democrats clash over vote on Biden's $3.5 trillion package,"The House makes an early return from its August recess Monday as Democratic leaders seek to string together the votes to advance President Joe Biden's $3.5 trillion economic package, a centerpiece of his agenda.
But progressives and moderates are clashing over strategy, and the party doesn't have agreement on how to move forward yet.
Speaker Nancy Pelosi's plan to move the bill in tandem with the Senate-passed infrastructure legislation is threatened by a rebellion by moderate Democrats, who have insisted that the $550 billion infrastructure bill get a speedy vote and be signed into...",left
2169,The Declaration of Independence’s debt to Black America,"In his famous Independence Day oration of 1852, Frederick Douglass asked, “What to the American slave is your Fourth of July?” If we turn that around and ask, “What to the Fourth of July were African Americans?,” we can only answer: “A lot.”
African Americans played a crucial, if often overlooked, role in their White owners’ and neighbors’ decision to declare independence from Britain.
Starting in November 1774 — five months before the Battles of Lexington and Concord — Blacks in the Virginia Piedmont gathered to assess how to use...",left
19104,"Jobless claims: Another 1.416 million Americans filed new unemployment claims last week, as labor market recovery sputters","The level of new jobless claims unexpectedly rose last week, signaling a weakening trend in the labor market as states across the US grapple with a resurgence in coronavirus cases. Another 1.416 million Americans filed for first-time unemployment insurance benefits, up from just over 1.3 million the prior week, to mark the first increase in new claims on a week over week basis since March.
Here were the main results from the report, compared to consensus estimates compiled by Bloomberg:",left
354,5 things we learned from Sanford's win,Mark Sanford is heading back to Washington after detours along the Appalachian Trail and Argentina.,left
13905,Congress hears Afghanistan troop plans amid ISIS fears,The top United States commander of U.S. and NATO forces in Afghanistan told Congress he has provided his chain of command with options for the drawdown of troops this year that would give both U.S. and Afghan leaders flexibility as the security situation evolves on the ground.,left
13275,"Unemployment rate falls, but for wrong reasons","Hiring picks up and unemployment rate drops to 6.3, although at this pace it will still take years to get back to a pre-recession labor market.",left
19312,GOP debate: CNBC aims for substance as candidates vie for limelight,"On Wednesday night, the moderators of the third GOP debate -- CNBC's Carl Quintanilla, Becky Quick and John Harwood -- will try to add a little more gravitas by focusing on what they view as the most important issue in the race: The economy.",left
15034,John McCain Announces He's Running For 6th Senate Term,"U.S. Sen. John McCain has announced he will run for re-election in 2016.
The Arizona Republican made the announcement to run for a sixth term on Monday in an interview with NBC News (
http://nbcnews.to/1NPIYdU
). He is the chairman of the Senate Armed Services Committee.
McCain uses his position as chairman to criticize President Barack Obama on national security.
""I have never been more concerned about the security of this nation because of the feckless leadership of the president of the United States,"" he said.",left
21181,"Roger Stone guilty of witness tampering, lying to Congress","WASHINGTON (AP) — Roger Stone, a longtime friend and ally of President Donald Trump, was found guilty Friday of witness tampering and lying to Congress about his pursuit of Russian-hacked emails damaging to Hillary Clinton’s 2016 election bid.
Stone was convicted of all seven counts in an indictment that accused him of lying to Congress, tampering with a witness and obstructing the House investigation into whether the Trump campaign coordinated with Russia to tip the 2016 election.",left
10526,Don't blame fate for Beirut's cruel tragedy,"Sometimes, it seems as if fate is trying to prove its unlimited capacity for cruelty. When the skies over Beirut exploded on Tuesday, sending shockwaves felt all the way to Cyprus, 150 miles away in the Mediterranean, and devastating much of a city that was once known as the Paris of the Middle East, it seemed one of those times.
But the never-ending tragedy that is Lebanon is not the result of the random doings of destiny.
Lebanon's government has blamed a large quantity of poorly stored ammonium nitrate for...",left
3237,Trump Stopped Strike on Iran Because It Was ‘Not Proportionate’,"President Trump said Friday morning that the United States military had been “cocked and loaded” for a strike against Iran on Thursday night, but that he called it off with 10 minutes to spare when a general told him that 150 people would likely die in the attack.
The president said in a series of tweets just after 9 a.m. that he was prepared to retaliate against three sites in Iran for that country’s shooting down an American drone, but that he was “in no hurry.” He indicated that the...",left
